"","TeDTeD1","TeDTeD2","TeDTeD3","TeDTeD4","TeDTeD5","TeDTeD6","TeDTeD7","TrD1","TrD2","TrD3","TrD4","TrD5","TrD6","TrD7","TrD8","modelB1","modelB2","modelB3","modelM1","modelM2","modelM3","modelMF","modelMN","modelMS","score","TransferLearning","StandardLearning","Classification","Reccomandation","Regression"
"75",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.661645725525932,1,0,1,0,0
"76",1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0.748658805352598,1,0,1,0,0
"77",1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.892027478913175,1,0,1,0,0
"78",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.892931676415815,1,0,1,0,0
"79",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.893772366900973,1,0,1,0,0
"80",1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0.750116971801286,1,0,1,0,0
"81",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.698803787487297,1,0,1,0,0
"82",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.898199871597004,1,0,1,0,0
"83",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.901183731241791,1,0,1,0,0
"84",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.900859307447118,1,0,1,0,0
"85",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.898801167738816,1,0,1,0,0
"86",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.900579087583365,1,0,1,0,0
"87",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.576214535561601,1,0,1,0,0
"88",0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.603342401865527,1,0,1,0,0
"89",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.582899339292655,1,0,1,0,0
"90",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.578080062184221,1,0,1,0,0
"91",0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.61095996890789,1,0,1,0,0
"92",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.57209483093665,1,0,1,0,0
"93",0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0.592615623785464,1,0,1,0,0
"94",0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.603497862417412,1,0,1,0,0
"95",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.581344733773805,1,0,1,0,0
"96",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.56393315196269,1,0,1,0,0
"97",0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.59844539448115,1,0,1,0,0
"98",0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.582666148464827,1,0,1,0,0
"99",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.535950252623397,1,0,1,0,0
"100",0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.600777302759425,1,0,1,0,0
"101",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.576914108045084,1,0,1,0,0
"102",0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.584220753983677,1,0,1,0,0
"103",0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.593159735717062,1,0,1,0,0
"104",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58087835211815,1,0,1,0,0
"105",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.58904003109211,1,0,1,0,0
"106",0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.589117761368053,1,0,1,0,0
"107",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.572949863972017,1,0,1,0,0
"108",0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0.597745821997668,1,0,1,0,0
"109",0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.585619898950641,1,0,1,0,0
"110",0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.592615623785464,1,0,1,0,0
"111",0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.600155460551885,1,0,1,0,0
"112",0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.578701904391761,1,0,1,0,0
"113",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.597046249514186,1,0,1,0,0
"114",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.589817333851535,1,0,1,0,0
"115",0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0.610182666148465,1,0,1,0,0
"116",0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.587874076952973,1,0,1,0,0
"117",0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0.598523124757093,1,0,1,0,0
"118",0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0.593859308200544,1,0,1,0,0
"119",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.554760979401477,1,0,1,0,0
"120",0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.586397201710066,1,0,1,0,0
"121",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.579246016323358,1,0,1,0,0
"122",0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.575825884181889,1,0,1,0,0
"123",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.59183832102604,1,0,1,0,0
"124",0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.602331908278274,1,0,1,0,0
"125",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.563855421686747,1,0,1,0,0
"126",0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.591294209094442,1,0,1,0,0
"127",0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.582355227361057,1,0,1,0,0
"128",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.532374659930043,1,0,1,0,0
